id|memberevent_id|tag_id
1172|581|183
1173|582|1263
1174|582|1039
1175|582|1142
1176|582|183
1177|583|425
1178|584|71279
1179|585|1256
1180|585|1258
1181|585|1259
1182|585|726
1183|586|1256
1184|586|1258
1185|586|1259
1186|586|726
1187|587|71139
1188|588|425
1189|589|433
1190|589|418
1191|589|1067
1192|589|1142
1193|590|425
1194|590|1067
1195|590|1140
1196|590|437
1197|590|1017
1198|591|1255
1199|591|51501
1200|591|183
1201|592|1259
1202|592|41237
1203|592|726
1204|592|1255
1205|594|10945
1206|594|1255
1207|594|1079
1208|594|183
1209|593|1084
1210|595|10945
1211|595|1259
1212|595|726
1213|595|183
1214|596|433
1215|596|1067
1216|596|1071
1217|597|1259
1218|597|726
1219|597|183
1220|598|1067
1221|598|726
1222|598|13599
1223|599|1071
1224|600|481
1225|600|726
1226|600|1255
1227|601|1057
1228|601|1255
1229|601|1142
1230|601|1039
1231|602|14312
1232|602|1257
1233|603|14312
1234|603|1257
1235|605|1256
1236|605|1258
1237|605|1259
1238|605|726
1239|606|433
1240|607|476
1241|607|1052
1242|607|1055
1243|608|425
1244|609|1067
1245|610|419
1246|611|419
1247|612|1067
1248|612|1028
1249|612|1068
1250|612|1071
1251|614|1067
1252|614|1029
1253|614|1071
1254|615|434
1255|615|1055
1256|616|1259
1257|616|1037
1258|616|1039
1259|617|1041
1260|617|1142
1261|617|1039
1262|618|1259
1263|618|1079
1264|618|726
1265|618|183
1266|619|1256
1267|619|1258
1268|619|1259
1269|619|726
1270|620|1256
1271|620|1258
1272|620|1259
1273|620|726
1274|621|1256
1275|621|1258
1276|621|1259
1277|621|726
1278|622|1258
1279|622|1259
1280|622|726
1281|623|1259
1282|623|726
1283|624|775
1284|625|418
1285|626|1256
1286|626|1257
1287|626|726
1288|627|1256
1289|627|1257
1290|627|726
1292|629|1254
1293|629|1065
1294|629|1258
1295|629|1259
1296|629|431
1297|628|1057
1298|630|1069
1299|630|1029
1300|631|1069
1301|631|1029
1302|632|1071
1303|633|1009
1304|633|71139
1305|633|1254
1306|634|1009
1307|634|71139
1308|634|1254
1309|635|1009
1310|635|71139
1311|635|1254
1312|636|1254
1313|636|1009
1314|636|71139
1315|636|726
1316|637|1009
1317|637|71139
1318|637|1254
1319|638|1009
1320|638|71139
1321|638|1254
1322|639|1009
1324|623|71360
1325|608|71360
1326|619|71357
1327|621|71357
1328|637|71357
1329|635|71357
1330|633|71357
1331|636|71357
1332|638|71357
1333|634|71357
1334|622|71357
1335|620|71357
1336|454|71357
1337|451|71357
1339|463|71357
1340|457|71357
1341|472|71357
1342|455|71357
1343|453|71357
1344|462|71357
1345|461|71357
1346|456|71357
1347|460|71357
1348|452|71357
1349|459|71358
1350|464|71357
1351|643|425
1352|644|1256
1353|644|425
1354|644|726
1355|645|425
1356|646|425
1357|646|1254
1358|647|1254
1359|647|425
1360|647|726
1361|648|1254
1362|648|425
1363|648|726
1364|649|1254
1365|649|425
1366|649|71357
1367|649|726
1368|650|425
1369|650|71357
1371|652|71139
1372|653|1071
1373|654|1071
1374|655|1071
1375|656|1071
1376|657|1071
1377|658|425
1378|659|425
1379|659|433
