id|name|ivector_connect_id|iata_code|location_id|latitude|longitude
1687|(IXA) Singerbhil, Agartala, India|628|IXA|8f4c1b35-16a3-49f1-b746-91dfd4d03c23|23.889000|91.241000
463|(MAZ) Eugenio Maria de Hostos, Mayaguez, Puerto Rico|872|MAZ|9fc9bd61-0302-4f51-8cde-abc2e0d4680b|18.256000|-67.148000
1646|(MNJ) Mananjary, Madagascar|2068|MNJ|628ee93a-9f90-4cc8-bfcf-6976ec55cd6c|-21.202000|48.358000
477|(BPY) Besalampy, Madagascar|1865|BPY|628ee93a-9f90-4cc8-bfcf-6976ec55cd6c|-16.742000|44.481000
2240|(SXF) Schonefeld, Berlin, Germany|1383|SXF|0d4b844f-7a74-4bd8-a19f-f15d634d6935|52.380000|13.523000
642|(DMM) King Fahd International, Dammam, Saudi Arabia|381|DMM|c02c0ce7-33ca-439d-a92e-7069a14cbec9|26.471000|49.798000
2097|(RMI) Federico Fellini International, Rimini, Italy|1239|RMI|18e1a212-9ee5-4f19-8a00-fa3ac26ef6de|44.020000|12.612000
2661|(WIL) Wilson, Nairobi, Kenya|1591|WIL|670f6f4a-0eb1-4a67-837f-3c9456b96b27|-1.322000|36.815000
2074|(OUD) Les Angades, Oujda, Morocco|1071|OUD|c4d958df-2af0-4a90-a135-46b38f342c28|34.787000|-1.924000
1874|(BTU) Bintulu, Malaysia|224|BTU|1073e688-685d-49e9-9465-160967b566fa|3.172000|113.044000
252|(BTZ) Bursa, Turkey|225|BTZ|922b4adc-6701-4144-a223-f43be1584f73|40.232000|29.009000
2078|(ROT) Rotorua Regional, Rotorua, New Zealand|1249|ROT|ddd52726-f68f-460d-baf0-75d68b183581|-38.109000|176.317000
2169|(SPP) Menongue, Angola|2193|SPP|3a759e11-4d0a-451d-b6d5-6f3a5c2d5ec0|-14.658000|17.720000
2201|(SKS) Vojens, Denmark|1318|SKS|53aa8e00-0b67-47d6-96e0-a78c3bb26250|55.225000|9.264000
1448|(SKU) Skiros Island National, Skiros, Greece|1319|SKU|f8cdf1c8-045d-43ef-ad42-8d27b9b0fb46|38.968000|24.487000
2498|(TZX) Trabzon, Turkey|1499|TZX|922b4adc-6701-4144-a223-f43be1584f73|40.995000|39.790000
3280|Weyers Cave, VA, United States of America (SHD-Shenandoah Valley Regional)|3003|SHD||0.000000|0.000000
2467|(BHJ) Bhuj, India|171|BHJ|8f4c1b35-16a3-49f1-b746-91dfd4d03c23|23.288000|69.670000
