id|name|longitude|latitude|country|postcode|location_id|see_venue_id
8500|Cuan Mor|-5.472069|56.414470|United Kingdom|PA345SD|27d9b687-31e6-4c4f-892a-508c51c365a1|22283
8502|Brent Civic Centre|-0.281683|51.559041|United Kingdom|HA9 0FJ|27d9b687-31e6-4c4f-892a-508c51c365a1|22266
8503|HORSENDEN PARK|-0.330954|51.550230|United Kingdom|UB6 7QH|27d9b687-31e6-4c4f-892a-508c51c365a1|22285
9055|Viviana TEST|-0.125068|51.533479|United Kingdom|N1C 4AG|27d9b687-31e6-4c4f-892a-508c51c365a1|17008
8504|The Hideout|-2.994128|53.044816|United Kingdom|LL13 8NB|27d9b687-31e6-4c4f-892a-508c51c365a1|22279
1945|Rio Ibiza|1.299325|38.978859|Spain||9cbbdced-21fa-4322-a91b-277d6642ed08|12268
8506|6380 Wilshire|-118.374760|34.072652|United States|90048|a3a2eab3-de54-4388-894e-364e26911c3b|22284
7913|Le Jam|3.890050|43.603500|France|34000|4e9cea11-b383-442b-8363-38b95162a531|21416
8541|Walcot House|-2.358762|51.387579|United Kingdom|BA1 5BG|27d9b687-31e6-4c4f-892a-508c51c365a1|22083
8542|The Wave Maiden|-1.091542|50.784991|United Kingdom|PO5 3LT|27d9b687-31e6-4c4f-892a-508c51c365a1|13849
8935|Club de Fromage Online Live Stream|-0.106370|51.534123|United Kingdom|N1 0PS|27d9b687-31e6-4c4f-892a-508c51c365a1|22735
8160|La Forge|4.327212|45.397344|France|42500|4e9cea11-b383-442b-8363-38b95162a531|20469
8161|El Gran Café de León|-5.568291|42.598214|Spain|24003|9cbbdced-21fa-4322-a91b-277d6642ed08|21795
6567|Tante JU|13.827207|51.010731|Germany|01279|0d4b844f-7a74-4bd8-a19f-f15d634d6935|18574
8489|Keepmoat Stadium|-1.114746|53.510051|United Kingdom|DN4 5JW|80110d5a-8b86-4f90-9d3d-30ff7292cc1e|
