id|name|id|number_of_seats|available_at_datetime
447|The Rosebery|447|4|2018-05-20 14:00:00+00:00
677|La Dame de Pic|677|2|2018-05-21 19:00:00+00:00
7817|Gorynych|7817|4|2020-01-26 16:00:00+00:00
546|Hoppers|546|2|2018-06-02 19:00:00+00:00
310|Aqua Shard|310|4|2019-03-21 20:00:00+00:00
309|Hutong|309|2|2019-03-21 20:00:00+00:00
228|COYA Restaurant & Bar|228|2|2018-06-06 19:30:00+00:00
733|XU|733|2|2018-06-06 19:00:00+00:00
544|Sexy Fish|544|2|2018-06-06 18:15:00+00:00
309|Hutong|309|2|2018-04-17 19:00:00+00:00
132|Sushisamba Liverpool Street|132|4|2018-05-18 19:00:00+00:00
172|Rivea London|172|4|2018-04-25 18:45:00+00:00
35|Hakkasan Mayfair|35|4|2018-05-04 19:00:00+00:00
27|Dinner by Heston Blumenthal|27|2|2018-05-19 18:45:00+00:00
1414|Roux at The Landau|1414|2|2018-04-26 19:00:00+00:00
120|Trishna Restaurant|120|4|2018-06-06 19:00:00+00:00
208|Yauatcha City|208|4|2018-06-06 18:30:00+00:00
6798|T'ang Court|6798|2|2018-06-13 12:00:00+00:00
35|Hakkasan Mayfair|35|2|2018-06-07 19:30:00+00:00
7689|Severyane|7689|4|2020-01-26 16:00:00+00:00
546|Hoppers|546|2|2018-06-06 19:00:00+00:00
27|Dinner by Heston Blumenthal|27|2|2018-06-07 19:00:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-06 10:00:00+00:00
3|Alain Ducasse at The Dorchester|3|2|2018-06-08 18:30:00+00:00
544|Sexy Fish|544|4|2018-06-08 18:45:00+00:00
764|Mei Ume|764|4|2018-06-08 19:30:00+00:00
27|Dinner by Heston Blumenthal|27|4|2018-06-08 18:15:00+00:00
514|Fenchurch at the Sky Garden|514|2|2018-06-07 18:15:00+00:00
106|Sake no Hana|106|4|2018-06-08 18:30:00+00:00
309|Hutong|309|2|2018-06-09 19:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-07 04:00:00+00:00
7816|Ryba Moya|7816|2|2020-02-11 16:00:00+00:00
544|Sexy Fish|544|4|2018-06-07 18:45:00+00:00
712|Coya Angel Court|712|2|2018-06-07 19:30:00+00:00
242|Bob Bob Ricard|242|4|2018-06-07 18:30:00+00:00
89|Yauatcha - Soho|89|2|2018-06-08 18:30:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-08 07:30:00+00:00
4518|Tosca|4518|2|2018-12-27 04:00:00+00:00
7758|Gaddi’s|7758|2|2018-12-27 04:00:00+00:00
309|Hutong|309|2|2018-06-08 19:00:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-25 07:30:00+00:00
7807|Café 103|7807|2|2018-06-19 07:30:00+00:00
764|Mei Ume|764|4|2018-06-18 12:30:00+00:00
7807|Café 103|7807|2|2018-06-18 04:00:00+00:00
4518|Tosca|4518|2|2018-06-18 04:00:00+00:00
544|Sexy Fish|544|4|2018-06-18 18:30:00+00:00
