id|name|geoname_id|ivector_connect_geo_level_id|ivector_connect_id|ivector_connect_unique_code|administrative_subdivision|country
b431c4cf-aad3-44f4-9031-11fa0fb78927|Hachinohe|2130203|2||MRNFZP|Aomori-ken|Japan
bfe135ae-394f-49fc-b408-537cef977218|Trapani|2522876|2||OCIVAK|Sicilia|Italy
b2220cfb-6743-4365-8677-bbd8e12201de|Arvayheer|2032814|2||72E297|Övörhangay Aymag|Mongolia
e46580c4-9282-4f94-bdd4-9b2e1fb76798|Rahim Yar Khan|1167460|2|||Punjab|Pakistan
0726f96a-ff78-4af6-8e5b-070a145945d6|Taoyuan City|6696918|2|||Taiwan|Taiwan
2d13c7e0-d7eb-4870-ba57-1c0ee9ba6aba|Taitung City|6949678|2|||Taiwan|Taiwan
9a1cea29-be66-4c88-b80d-30630ca5bac7|Kure||2||9BE6IO||Japan
b543709e-bd57-49a6-a8e3-acdbd043d6c2|Weyburn||2||4B6KI3|Yukon|Canada
3a891f3d-6210-49fe-9c9b-c53f140e903d|Panamá|3703443|2||FESB08|Provincia de Panamá|Panama
b0c29521-d991-4bd5-85ab-cbd956edf136|Tourrettes||2||OL97G5||France
1ff15b68-ebd3-4103-922e-ed24ab8d7efa|Messina|2524170|2||FNLQ4M|Sicilia|Italy
efb1794b-ed70-4d90-8d19-abc8dcf3ade8|Siracusa|2523083|2||D0D30L|Sicilia|Italy
3ecf43fa-5331-4988-a5ba-c2ec7488d501|Craig||||E0D4U0||United States
95feb85b-c19c-428f-8ad6-1833ab7f9efa|Luson||3||R8CLMF||Italy
92d4c3dd-93b1-44fc-993f-ac805d441467|Port Louis|934154|2||58F1CP|Port Louis District|Mauritius
0052090b-3f5a-4ce7-a867-f0978671f9a9|Kennebunk||||IUZZ0M||United States
bdbebc90-7942-4764-87d7-dff8b941d6da|Solwezi||||J590M1||Zambia
cbd294e2-d1fd-42cb-9897-86094b077f84|Bolgheri||3||6B6NUQ||Italy
08c1daf8-bae5-4ad7-bcc7-c78f32b7d46a|Hermanus||2||ISRU0W||South Africa
0d915013-63ec-43d0-bfc1-b6d5e4b7631f|Palma de Mallorca|2512989|2||M7QN7K|Comunitat Autònoma de les Illes Balears|Spain
eb0066bd-1d74-4ee3-a231-90b556d3f992|Palermo|2523920|2||ACGJOC|Sicilia|Italy
d1d11279-0e8f-4d66-a8b3-27397c8ffc0c|Plettenberg Bay||2||EY8HL8||South Africa
9a46048c-a115-4657-83c8-89d1c692fa17|Colesberg||||LPCQSU||South Africa
20a2b3ac-0160-4c23-9c8f-ec895278ba51|Bacalar||2||GVXPKI||Mexico
8dc46c82-7103-45fb-bdb2-5fb5618d9490|Reykholt||||5GHBH0||Iceland
1443ce72-5e7f-4b33-9171-74706189c1c2|Sao Jorge||3||MKY3F5||Brazil
d2d1e515-0369-4e81-a52c-504793dcb47a|Santorini||||YNYO7S||Greece
54761c60-8006-42b7-9871-5b5eee597a05|Dominical||2|10845|R93SD6||Costa Rica
14625d92-d610-4e48-9f60-e5989b5d1fe4|Knysna||2||Y3LFVT||South Africa
3992ed72-98d7-4f40-b396-8429bf0d7c85|Young Harris||||K70SJW||United States
ccba90b4-3e64-473b-b138-12bfb11427f7|Puymirol||3||7DRM00||France
b33e765c-46ff-4c17-9274-7a0b8a8a4388|Millau||3||OH1JZW||France
d3d655c9-7523-4a36-b667-e3fd258773fc|Aldeburgh||||9W76LF||United Kingdom
ea018636-f299-476e-95c0-cb3bc16451c9|Dunmow||||1G4W2A||United Kingdom
71ce0c07-c570-4f45-a3de-b7c5685edc1e|Itapema||||D97DNQ||Brazil
1c38f5f5-8c66-49e4-9800-6433cc561c1e|Lake Umuzi||3||TPOZ8S||South Africa
c2cc8386-9d8a-4b0f-8d13-08527205b470|Canela||3||9A7N2K||Brazil
97055019-8ff4-4c38-8b8d-c7388e59a2bc|Pirenópolis||3||TCRV9O||Brazil
7a28bbe6-d5c0-40b6-ad51-049ac3737322|Trancoso||3||XCFMMZ||Brazil
d6217d4f-9f6c-4ab5-985f-0e896b30fbf4|Isle of Barra||||VIK7QZ||United Kingdom
4f757e8a-04b5-4963-a56b-3db1b300f5c5|Beerambally||3||F3UD8X||India
9fdc5573-64c8-4708-b242-d65eea3ea3e6|Tiradentes||3||ZFU4R0||Brazil
4c2299ab-a161-4ac5-990d-cf3b8595b997|Morelos||3||OR6D9U||Mexico
4344ef03-03db-4d5c-b6b1-7d419033714a|Newton Abbot||||SAQDOS||United Kingdom
f163b632-0413-46bb-8dab-8bd4eaef3fd6|Langham||3||QSVX6W||United Kingdom
143722d0-f63b-495c-86e6-00bfbf7c7daf|Apopka||3||YRMFXC||United States
eb96c03c-e2a1-4afc-8f71-32af8fc8357a|Cockermouth||3||YOPMOT||United Kingdom
55585bd8-f213-4480-b247-a80825391c5b|Corumbá||3||WQSL9H||Brazil
a3f5c32f-851a-49e4-90c2-c79990084bbc|Alagoas||3||KRP8UO||Brazil
2cdd126c-ba6c-4963-bf20-f4a93b0dd2b5|Camanducaia||3||FFMO5J||Brazil
9f79bea1-7549-4cf3-b532-2141bda3bafe|Mattoon||3||7TMNN2||United States
e3b47c69-2538-418a-a18e-d12e3e9a129f|Scourie||3||2919Y4||United Kingdom
0f83e7bf-e39c-4288-8f7d-e69d86052a2b|Canoas||3||5CO402||Brazil
39b73c94-6028-4f98-bc1d-01d262bb5bae|Selfoss||3||ED67WP||Iceland
4a375bb5-cdba-4d8d-acde-9efb9fe9fa37|South Dalton||3||YAXO08||United Kingdom
637b216e-7002-4a35-9697-f3af1b4f3c5a|Norderney||3||LR79WD||Germany
8a20b1c1-7481-4c22-82b6-728b466be540|Bessa||3||UFYJC7||Brazil
2c8fc2c2-6501-4807-9b54-1627dc366502|Alto Paraiso de Goias||3||6Z2JRA||Brazil
1771149c-2324-4e36-a8f5-3c10a040748c|Naberezhnaya street||3||F1XWFL||Russia
4f825acc-61d3-4a2a-8ab7-43f61481f8ab|Dourado||3||GXOVE4||Brazil
6a0bd39b-cb78-4824-b23d-0351476069ff|Mezzuola||3||EMGHIN||Italy
85f3b877-1ad5-4eaf-9112-e5bd3533c5e4|Horby||3||77UTPV||Sweden
491a68da-50cb-4891-8410-d3002399a536|Nuremberg||||T820AI||Germany
18aa7d88-8a65-4a4e-8c69-8e061541b9fc|Sifnos||||L8N178||Greece
fe5be877-80fa-440c-8d4d-d8aa8dcd9c9d|Citta Di Castlello||3||4B7XE8||Italy
e7b29597-100c-449e-823a-645b5923d371|Porspoder||3||7WISRY||France
cf2c34ad-1fc6-4294-96b2-1ecb9e15e554|São José dos Pinhais||||T9Q7BC||Brazil
ca317f7f-c56a-4008-b3c6-0dc9192c63b3|Sai Kung||3||NFFK9Z||Hong Kong SAR
0f9bd5f8-b5a6-4175-8a15-6536b55aea92|Divinopolis||3||TDLGFG||Brazil
d6efc6ff-8079-4ada-b232-4152a27ceb09|Charmey||3||I5XAUQ||Switzerland
6660a026-20bf-4e09-b4bf-471ab268ee65|Silsand||3||YASUKD||Norway
ceb1c91e-e0ed-4f1b-88d9-d2806017740e|Kisosaki||3||SGYIWR||Japan
8972fec6-21c6-46bf-bd5f-4328eaea9063|Chodang-Dong||3||PN3OYD||South Korea
464e45d3-4f63-4031-8831-bf82219a6b73|Unterwasser||3||GKANMO||Switzerland
7c893da8-56f8-4772-b370-52d7245e2102|Porto de Sauipe||3||CEKLXV||Brazil
af8888e7-9439-441e-9bf9-54c42fe60419|Åre||||Q5CL99||Sweden
09527a6a-27f3-4a59-84b5-52f0ffead4c5|Manteigas||3||727GZZ||Portugal
49325e08-1059-4d7d-9534-87aeb94f2f6b|Cruz Das Almas||3||Y0JYUO||Brazil
63f977ab-8a18-4af9-a18b-1a7a39adfe66|Daly Waters NT||3||8R2EDF||Australia
8ea4e737-9799-4fe7-8932-4dc9de739635|Øvrebø||||VTI6V2||Norway
2b164677-1a70-493c-a679-43f6ca056194|Sackets Harbor||3||5KQ0Y1||United States
9fedaf3c-9e38-40e0-bbf4-c142972bde3f|Manarola||3||JVXACU||Italy
594db0d7-9768-4544-af5e-e8334fc8d75f|Lechlade||3||B92C2X||United Kingdom
f06fe854-c628-41fc-b4ca-803eae77d58e|Davenport||3||MAL37D||Australia
48133cac-ed0b-4d61-be95-c5a4e54c2a76|North Truro||3||4O9ZJF||United States
5d9f1633-238e-401f-ad2d-5fdd2c59d9f8|Santa Agueda||3||YQU286||Mexico
7de47f5a-176b-4998-a3a3-e8a14743e726|Enfield||3||AZYIJU||United Kingdom
ce8954bf-ac3f-4d93-92ff-b6f30809105c|Montfort-le-Gesnois||3||D4HWIH||France
0bbce464-8956-49dd-b8bc-5092058e172a|Port Rive Gauche||||NX8J55||France
3f663294-e290-481f-8ef7-941b5c93d9f5|Bonito||2||1SVI0E|Mato Grosso|Brazil
23425d39-8920-4dd0-9ffb-3cc36d334196|Bad Fussing||3||PE3G42||Germany
90d6853d-65e2-44d1-a2c2-871fc4fe93ac|Rust||3||G3VVIR||Germany
db26bde3-e847-4f2b-9f1b-ccfc5768f723|Arcoverde||3||O1ZK8A||Brazil
ef471932-b09a-4527-8dba-82142e7799dd|Coimbatore||3||YAMQ0W||India
5fdcb3fb-e419-4106-9195-104eb3152a3a|Saint Martin||3||D87WM9||Saint Martin
f7ed650c-5539-4c63-ba81-f126c4579866|Levizzano Rangone||3||9UL28P||Italy
10dd7dea-a94c-486e-b51f-7910e78ab0f6|Noida||3||1TFOG1||India
c3068a57-9e9c-444e-b312-940be7360386|Stendal||2|8872|AL8500||Germany
ae2ffb70-d6ae-4045-a3d5-5da4fa8b80bf|Gourmanston||2|9218|TVYZ21||Ireland
aaa4a7ec-0b8c-4cce-8e9d-27b35f439f25|Zaghouan|2464041|2|2542|XJTNSX|Gouvernorat de Zaghouan|Tunisia
50d0fc5f-1ee3-49b9-85c0-2dde139fa617|Augers-en-Brie||||JH855S||France
a708e502-8e07-439b-aaef-2780a7416de7|Appin||3||22RBJ6||United Kingdom
51ab5803-1ef1-4181-9e3e-051542df006d|Penedo||3||Q82I5C||Brazil
65de5035-972e-4815-90b3-2d524581b356|Didmarton||3||MTGBRE||United Kingdom
0ad22bc3-fb5e-45bd-91b4-609e5565e4fd|Cantagalo||3||XG85TL||Brazil
e49028e3-25a4-4468-aab5-2011660295b8|Hvolsvöllur||3||GOTFB1||Iceland
2e1583e1-fd7f-46ef-bea3-048f9b9475e9|Petersburg||||NP61KO|Alaska|United States
6af46c6a-a7ee-44db-b284-4320df11f215|Pomerode||3||9T9B2O||Brazil
fcd16481-752b-4cbd-a93f-b2a9d90c5506|Mosjøen||||6FJMJ9||Norway
a0650bec-d2d1-4112-8686-af138f2f1e7f|Japaratinga||3||YPHIHA||Brazil
4a73f761-e506-4831-b37c-bad2e1361ad8|Kinbrace||3||PS2OOR||United Kingdom
3d3f4379-37d1-4131-81fb-a26819ee0f81|Donaueschingen||3||OET0O9||Germany
79b35e88-4191-429e-aaac-bc20da823144|Letchworth Garden City||3||KQIYQ5||United Kingdom
77fb0a41-bcaf-47ce-be77-5a179ab2ffd0|Spa||3||0P99JF||Belgium
cd613d2f-2777-4ca6-b0aa-2c20631bdabc|Santis||||HKLQPH||Switzerland
8a1c3004-2c74-4e64-be9b-381ca08e8f3c|La Guardia||2||U813R4||United States
fdc76e72-54dc-47da-8620-7d6ff3df368a|Dongara WA||3||JS1GXW||Australia
79e47627-d781-4aec-a349-bfde04504721|New Hampshire||2||GCXWOL||United States
3b5a7b75-61bd-4d22-a619-6f26745f5879|Port Argeliers||3||MGU72X||France
3d906e50-54b9-49d8-a83e-b603e20ec342|Cherry Valley||3||0G8UKY||United States
e3a8c352-7502-4b53-9bca-aa896e35afa5|Sremska Mitrovica|3190103|2|861|1REEFM|Autonomna Pokrajina Vojvodina|Serbia
382d0b3f-f848-4bf2-ba4e-df9bfe1514fc|Lequile||3||ZARGO2||Italy
38708a8a-8203-4a52-b996-e65662f55a17|Abha|110690|2|1029|WCWL1D|Minţaqat ‘Asīr|Saudi Arabia
31b7f26c-ac3b-47ba-976a-6cf11e6996e5|Americana||||XPVQEM||Brazil
90e12324-03d2-4915-baca-f3c82427c5ae|Illhaeusern||3||Y8WC1G||France
1e97fb16-d000-4365-a5e9-ba6f345515fa|Isle of North Uist||||HKPVB8||United Kingdom
c6732b89-7033-4a62-b0ea-803b261cb10e|Superior||2|9713|8Y5Y98|Louisiana|United States
d2d119ac-bad1-413f-ae32-1325b43ff572|Boone|4456703|2|4876|RG714N|North Carolina|United States
cb99a627-293a-4f9d-bf7c-54671ff89efa|Al Farwānīyah|285815|2|5540|AVWHH2|Muḩāfaz̧at al Farwānīyah|Kuwait
30d8e52a-5bbc-4025-8b5c-fa0e16c3c2d6|Matsudo|1857553|2|9333|7VEPV8|Chiba-ken|Japan
60fa1381-8488-405b-8236-44b765f98d5e|Alamosa||2|11009|1YUS0I|Colorado|United States
7165c296-a4aa-4c7f-a857-233b72b00e72|The Bronx|5110266|2|6223|BAECX4|New York|United States
da7afe82-6fb3-4732-9f00-2bfda8d1c202|May Pen|3489523|2|5340|8QQQDT|Clarendon|Jamaica
fae5b8cb-3817-4537-bd07-ba15c9ca316c|Stretford|2636663|2|4651|L1HEGO|England|United Kingdom
79d1838d-ef12-42d9-a79e-03f24b4c4398|Sam Phran|1606638|2|2407|YCLL8G|Changwat Nakhon Pathom|Thailand
4de79cbf-30db-4c60-a560-4dea5e784a0a|Karbala|94824|2|4042|B9P3UV|Muḩāfaz̧at Karbalā’|Iraq
3407138d-d97b-44de-925f-76e6a5db4a52|Progreso|3521108|2|5889|DT1KVU|Estado de Yucatán|Mexico
eed2bd09-de86-43dc-8a0d-88bc3d7a7ded|Nueve de Julio|3842881|2|1204|AAOTD7|Provincia de Buenos Aires|Argentina
