id|name|benefit_code|restaurant_id
534|Complimentary welcome cocktail|4047|7726
548|Jade Exclusive: 15% discount on all day a-la-carte dining and a complimentary bottle of champagne in birthday month with minimum spend|4121|7728
546|Jade Exclusive: 15% discount on all day a-la-carte dining and a complimentary bottle of champagne in birthday month with minimum spend|4119|7729
547|Jade Exclusive: 15% discount on all day a-la-carte dining and a complimentary bottle of champagne in birthday month with minimum spend|4120|7730
570|A complimentary welcome drink for each guest with a value of HKD150|4129|7731
558|A complimentary welcome drink for each guest with a value of HKD150|4127|7732
795|Book through us for priority reservations|REF668|7425
536|Complimentary glass of welcome Champagne|4051|7734
549|Jade Exclusive: 15% discount on all day a-la-carte dining and a complimentary bottle of champagne in birthday month with minimum spend|4123|7736
560|Complimentary welcome drink|4134|7738
535|Complimentary Shizuoka Musk Melon dessert|4048|7739
551|A complimentary welcome drink for each guest with a value of HKD150|4126|7741
550|Jade Exclusive: 15% discount on all day a-la-carte dining and a complimentary bottle of champagne in birthday month with minimum spend|4124|7742
587|Complimentary welcome drink and priority booking|4143|7744
584|One complimentary bottle of wine for the table|4105|7745
553|Complimentary appertizer from the à la carte menu|4098|7746
709|Enjoy a glass of Champagne on arrival|4532|1483
509|Complimentary appetizer for every tasting menu ordered|REF613|7747
593|Complimentary appetizer for every two courses purchased|REF614|7748
594|Complimentary appetizer for every two courses purchased|REF615|7749
541|Complimentary welcome drink|4061|7750
795|Book through us for priority reservations|REF668|7431
795|Book through us for priority reservations|REF668|6664
532|A complimentary glass of Champagne with minimum spend|4044|7754
795|Book through us for priority reservations|REF668|7430
540|Jade Exclusive: 15% off discount on all food menus, lunch and dinner|4058|7757
795|Book through us for priority reservations|REF668|6671
568|Complimentary welcome drink|4147|7760
563|Receive a complimentary box of nine pieces of Chakeli for the table when spending HK$2000 or more .|4138|7761
795|Book through us for priority reservations|REF668|4863
562|Complimentary welcome drink|4137|7765
795|Book through us for priority reservations|REF668|8215
567|Complimentary welcome drink|4145|7767
543|Complimentary chocolate fondant cake at lunch or dinner for two guests or more|4063|7768
565|Complimentary welcome drink|4142|7769
542|Jade Exclusive: Complimentary welcome drink|4066|7770
492|Privileged access to dining outlets|4175|7771
552|15% off food bill|4099|7772
486|15% off food bill|4100|7773
572|Complimentary carafe of wine|4102|7774
573|Complimentary appetizer|4103|7775
519|Complimentary bottle of wine|4104|7421
583|15% off the bill at dinner|4106|7776
518|15% off à la carte lunch and dinner food bill|4107|7777
520|15% off à la carte lunch and dinner food bill|4108|7778
485|15% off à la carte lunch food bill|4109|7779
516|15% off à la carte food bill|4110|7780
514|15% off à la carte lunch and dinner food bill|4111|7781
515|15% off Indian buffet, Japanese buffet and afternoon tea|4112|7782
488|15% off daily afternoon tea, à la carte lunch food bill and Sunset Soiree|4113|7783
489|15% off à la carte lunch food bill|4114|7784
517|15% off weekday lunch, dinner buffet and high tea buffet on Saturday|4115|7785
555|30% off the food bill at lunch|4054|7786
554|Complimentary glass of wine with every Omakase menu order|4049|7787
500|15% discount on food and drinks when dining à la carte|4040|7788
501|15% discount on food and drinks when dining à la carte|4039|4691
502|15% discount on food and drinks when dining à la carte|4041|7789
585|Complimentary welcome drink|4146|7790
504|Complimentary welcome drink|4150|7791
590|Complimentary dessert and 15% discount off the food bill|4128|7792
795|Book through us for priority reservations|REF668|8478
508|Complimentary amuse bouche per person|4158|7794
588|Complimentary appetizer|4141|7795
589|20% discount on beef dishes and priority booking|4130|7796
